Depth,Lithology_values,Lithology
145,,unknown
146,,unknown
147,,unknown
148,,unknown
149,,unknown
150,,unknown
151,,unknown
152,,unknown
153,,unknown
154,,unknown
155,,unknown
156,,unknown
157,,unknown
158,,unknown
159,,unknown
160,,unknown
161,,unknown
162,,unknown
163,,unknown
164,,unknown
165,,unknown
166,,unknown
167,,unknown
168,,unknown
169,,unknown
170,,unknown
171,,unknown
172,,unknown
173,,unknown
174,,unknown
175,,unknown
176,,unknown
177,,unknown
178,,unknown
179,,unknown
180,,unknown
181,,unknown
182,,unknown
183,,unknown
184,,unknown
185,,unknown
186,,unknown
187,,unknown
188,,unknown
189,,unknown
190,,unknown
191,,unknown
192,,unknown
193,,unknown
194,,unknown
195,,unknown
196,,unknown
197,,unknown
198,,unknown
199,,unknown
200,,unknown
201,,unknown
202,,unknown
203,,unknown
204,,unknown
205,,unknown
206,,unknown
207,,unknown
208,,unknown
209,,unknown
210,,unknown
211,,unknown
212,,unknown
213,,unknown
214,,unknown
215,,unknown
216,,unknown
217,,unknown
218,,unknown
219,,unknown
220,,unknown
221,,unknown
222,,unknown
223,,unknown
224,,unknown
225,,unknown
226,,unknown
227,,unknown
228,,unknown
229,,unknown
230,,unknown
231,,unknown
232,,unknown
233,,unknown
234,,unknown
235,,unknown
236,,unknown
237,,unknown
238,,unknown
239,,unknown
240,,unknown
241,,unknown
242,,unknown
243,,unknown
244,,unknown
245,,unknown
246,,unknown
247,,unknown
248,,unknown
249,,unknown
250,,unknown
251,,unknown
252,,unknown
253,,unknown
254,,unknown
255,,unknown
256,,unknown
257,,unknown
258,,unknown
259,,unknown
260,,unknown
261,,unknown
262,,unknown
263,,unknown
264,,unknown
265,,unknown
266,,unknown
267,,unknown
268,,unknown
269,,unknown
270,,unknown
271,,unknown
272,,unknown
273,,unknown
274,,unknown
275,,unknown
276,,unknown
277,,unknown
278,,unknown
279,,unknown
280,,unknown
281,,unknown
282,,unknown
283,,unknown
284,,unknown
285,,unknown
286,,unknown
287,,unknown
288,,unknown
289,,unknown
290,,unknown
291,,unknown
292,,unknown
293,,unknown
294,,unknown
295,,unknown
296,,unknown
297,,unknown
298,,unknown
299,,unknown
300,,unknown
301,,unknown
302,,unknown
303,,unknown
304,,unknown
305,,unknown
306,,unknown
307,,unknown
308,,unknown
309,,unknown
310,,unknown
311,,unknown
312,,unknown
313,,unknown
314,,unknown
315,,unknown
316,,unknown
317,,unknown
318,,unknown
319,,unknown
320,,unknown
321,,unknown
322,,unknown
323,,unknown
324,,unknown
325,,unknown
326,,unknown
327,,unknown
328,,unknown
329,,unknown
330,,unknown
331,,unknown
332,,unknown
333,,unknown
334,,unknown
335,,unknown
336,,unknown
337,,unknown
338,,unknown
339,,unknown
340,,unknown
341,,unknown
342,,unknown
343,,unknown
344,,unknown
345,,unknown
346,,unknown
347,,unknown
348,,unknown
349,,unknown
350,,unknown
351,,unknown
352,,unknown
353,,unknown
354,,unknown
355,,unknown
356,,unknown
357,,unknown
358,,unknown
359,,unknown
360,,unknown
361,,unknown
362,,unknown
363,,unknown
364,,unknown
365,,unknown
366,,unknown
367,,unknown
368,,unknown
369,,unknown
370,,unknown
371,,unknown
372,,unknown
373,,unknown
374,,unknown
375,,unknown
376,,unknown
377,,unknown
378,,unknown
379,,unknown
380,,unknown
381,,unknown
382,,unknown
383,,unknown
384,,unknown
385,,unknown
386,,unknown
387,,unknown
388,,unknown
389,,unknown
390,,unknown
391,,unknown
392,,unknown
393,,unknown
394,,unknown
395,,unknown
396,,unknown
397,,unknown
398,,unknown
399,,unknown
400,,unknown
401,,unknown
402,,unknown
403,,unknown
404,,unknown
405,,unknown
406,,unknown
407,,unknown
408,,unknown
409,,unknown
410,,unknown
411,,unknown
412,,unknown
413,,unknown
414,,unknown
415,,unknown
416,,unknown
417,,unknown
418,,unknown
419,,unknown
420,,unknown
421,,unknown
422,,unknown
423,,unknown
424,,unknown
425,,unknown
426,,unknown
427,,unknown
428,,unknown
429,,unknown
430,,unknown
431,,unknown
432,,unknown
433,,unknown
434,,unknown
435,,unknown
436,,unknown
437,,unknown
438,,unknown
439,,unknown
440,,unknown
441,,unknown
442,,unknown
443,,unknown
444,,unknown
445,,unknown
446,,unknown
447,,unknown
448,,unknown
449,,unknown
450,,unknown
451,,unknown
452,,unknown
453,,unknown
454,,unknown
455,,unknown
